Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
O22A4	4.9	2756733	1164444	2756733	261821715	1253356	243737049	6.907244496507863
O22A5	4.9	3247053	1311747	3247053	307591467	1490425	287129924	6.652181609446273
O22A6	4.9	3192037	1221637	3192037	300585470	1517087	281435769	6.370800624527859
O22A7	4.9	3754816	1474502	3754816	355445712	1745655	332391596	6.4859738693373234
O22A8	4.9	2808959	1286290	2808959	269197965	1254415	249309704	7.387968553179814
O22B1	4.9	3556073	1265201	3556073	332987854	2029767	312808047	6.0602231455565345
O22B2	4.9	3814931	1439894	3814931	359011808	1792713	336456028	6.282740427300931
O22B3	4.9	3486034	1372884	3486034	329243686	1588123	307791862	6.515485311387262
O22B4	4.9	3461079	1454120	3461079	328697747	1604753	306045308	6.891571118678827
O22B5	4.9	3065807	1232690	3065807	290225835	1408018	270998188	6.625063892054958
O22B6	4.9	3566364	1352761	3566364	335504087	1703959	314255426	6.333353846744645
O22B7	4.9	3455139	1341278	3455139	326734563	1628005	305714851	6.433268585668422
O22B8	4.9	3020502	1372140	3020502	288943835	1405134	267532769	7.410113456824577
O22C1	4.9	2907233	1052983	2907233	272718824	1642369	255958877	6.145504279528574
O22C2	4.9	3308114	1248975	3308114	311284740	1538330	291785108	6.264242827965161
O22C3	4.9	3090701	1223430	3090701	292068322	1404832	272974249	6.5375364466948245
O22C4	4.9	3266246	1385083	3266246	310464903	1491573	288944534	6.931659196273145
O22C5	4.9	3293855	1331048	3293855	312094786	1510127	291357896	6.644420519091915
O22C6	4.9	2834681	1070082	2834681	266506512	1342680	249757401	6.2846910847716915
O22C7	4.9	3084149	1206382	3084149	291876597	1439181	273022791	6.459512750862996
O22C8	4.9	2973046	1358165	2973046	284881502	1338935	263877751	7.3728026749873
O22D1	4.9	3318986	1170581	3318986	310636641	1892679	291934458	6.020597872740969
O22D2	4.9	3347031	1250357	3347031	314716021	1558400	295123009	6.225616331111405
O22D3	4.9	3453103	1351687	3453103	325841931	1546813	304777448	6.464632386431567
O22D4	4.9	3192605	1332483	3192605	302983231	1467744	282229646	6.84974707395605
O22D5	4.9	3343963	1340730	3343963	316509427	1520425	295628584	6.597226249441221
O22D6	4.9	3512297	1337057	3512297	330573740	1718074	309572951	6.352830385135855
O22D7	4.9	3688939	1435756	3688939	348824711	1687820	326418379	6.42337864647439
O22D8	4.9	3342965	1516880	3342965	319984915	1523695	296519748	7.333210379620551
highN4A1	4.9	2229389	628578	2229389	205171600	1260517	195030815	4.9425870832025485
highN4A2	4.9	2187252	627837	2187252	201512859	1224193	191401750	5.01759989420824
highN4A3	4.9	2481006	700332	2481006	228345681	1400071	217050391	4.946574837997483
highN4A4	4.9	2595182	747599	2595182	239271769	1450266	227279858	5.011836979397264
highN4A5	4.9	1917866	551382	1917866	176795766	1079760	167922830	5.018749148098943
highN4A6	4.9	2194968	607241	2194968	201784740	1243542	191977180	4.860407184408494
highN4A7	4.9	2339201	669201	2339201	215497786	1311823	204734470	4.994629503989429
highN4A8	4.9	2257845	643925	2257845	208048187	1264485	197700593	4.973652570209612
highN4B1	4.9	2120160	726187	2120160	197803920	1187025	186337975	5.796621725191291
highN4B2	4.9	2408786	835017	2408786	224912353	1346346	211707119	5.871280000347514
highN4B3	4.9	2609020	887659	2609020	243173022	1468868	229116071	5.780637541281203
highN4B4	4.9	2677742	933515	2677742	250278131	1507387	235536500	5.890099522918365
highN4B5	4.9	2899492	1006690	2899492	270895760	1611250	255023066	5.859336447347865
highN4B6	4.9	2324070	780553	2324070	216401179	1325100	203972321	5.7434335882245815
highN4B7	4.9	2530178	864619	2530178	235939081	1423279	222244205	5.804411860025851
highN4B8	4.9	2382796	822149	2382796	222409945	1342248	209388258	5.85481328184313
highN4C1	4.9	2255423	761872	2255423	210196114	1246055	198112625	5.748673831334484
highN4C2	4.9	2350345	796377	2350345	219154818	1294466	206540447	5.755917718404895
highN4C3	4.9	2061236	688557	2061236	191798077	1149668	180827714	5.7197460848369195
highN4C4	4.9	2377282	822078	2377282	222044278	1311098	209026952	5.86249108387292
highN4C5	4.9	2127501	722160	2127501	198363115	1183638	186878332	5.7897774997130895
highN4C6	4.9	1741118	581669	1741118	162163580	960907	152956918	5.677391927336582
highN4C7	4.9	2241942	757340	2241942	208895350	1250708	196848580	5.766892369791861
highN4C8	4.9	2150544	722228	2150544	200415053	1191598	188945441	5.722929404908522
highN4D1	4.9	2419307	823195	2419307	225517238	1360344	212481711	5.780279643190735
highN4D2	4.9	2440731	836302	2440731	227636177	1381757	214378572	5.82403253064648
highN4D3	4.9	2431422	819100	2431422	226456906	1377092	213471265	5.734265838640399
highN4D4	4.9	2137759	746424	2137759	199703899	1207505	187888154	5.916632103412263
highN4D5	4.9	2169896	740620	2169896	202348907	1230745	190601052	5.805741762667392
highN4D6	4.9	2202379	741252	2202379	205171205	1250563	193440780	5.717383684518498
