Sample	featurecounts-Assigned	featurecounts-percent_assigned	cutadapt-percent_trimmed	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
O22A3	1.0190919999999999	32.32544566389647	6.563234661014618	44.10090901282439	46.0	57.68863782995761	84	45.45454545454545	3.152602
O22A4	0.926364	33.603738343522345	6.907244496507863	55.57828728418296	45.0	57.98468638012659	84	45.45454545454545	2.756729
O22A5	0.770563	23.731185988011262	6.652181609446273	33.36242780737743	46.0	60.112792912208256	84	18.181818181818183	3.247048
O22A6	1.047715	32.82279173004055	6.370800624527859	42.528485824768346	46.0	53.36814774900651	20	18.181818181818183	3.1920349999999997
O22A7	1.063952	28.33572315814817	6.4859738693373234	35.06942187989196	46.0	61.051720886926844	84	36.36363636363637	3.7548079999999997
O22A8	0.733386	26.108874018183997	7.387968553179814	45.89338441680463	45.0	64.1529475573283	84	36.36363636363637	2.808953
O22B1	1.5808849999999999	44.45605841517949	6.0602231455565345	57.261881154426895	45.0	50.1084258373448	20	45.45454545454545	3.556062
O22B2	1.3961379999999999	36.596735191386465	6.282740427300931	42.187098040637615	46.0	54.1262311840993	20	36.36363636363637	3.8149249999999997
O22B3	0.9677629999999999	27.761194115480425	6.515485311387262	35.25112262036963	46.0	57.91858601864758	84	27.27272727272727	3.486029
O22B4	0.853648	24.664337131204235	6.891571118678827	34.148534432313056	46.0	58.99917828737059	84	27.27272727272727	3.461064
O22B5	0.8937579999999999	29.15254989159426	6.625063892054958	48.811186200132184	45.0	60.475912951836015	84	36.36363636363637	3.065797
O22B6	1.338585	37.533689850368276	6.333353846744645	45.24786717720972	46.0	53.09905203011027	20	45.45454545454545	3.5663579999999997
O22B7	0.8638969999999999	25.003299439789856	6.433268585668422	32.02017812281463	46.0	60.990431482666516	84	27.27272727272727	3.455133
O22B8	0.6408809999999999	21.217873865617914	7.410113456824577	31.938593498221508	47.0	62.6341713011367	84	36.36363636363637	3.020482
O22C1	0.990035	34.054319190512736	6.145504279528574	44.313730214725545	46.0	52.25478127767889	20	27.27272727272727	2.907225
