Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
LD1C7	(12.0, 3.0)	(13.0, 35.0)	(14.0, 165.0)	(15.0, 278.0)	(16.0, 1025.0)	(17.0, 2199.0)	(18.0, 3827.0)	(19.0, 4023.0)	(20.0, 6999.0)	(21.0, 9002.0)	(22.0, 11338.0)	(23.0, 14306.0)	(24.0, 25787.0)	(25.0, 49381.0)	(26.0, 90312.0)	(27.0, 122395.0)	(28.0, 177685.0)	(29.0, 377598.0)	(30.0, 1002633.0)	(31.0, 997130.0)	(32.0, 443707.0)	(33.0, 425528.0)	(34.0, 803156.0)
LD1C8	(12.0, 3.0)	(13.0, 14.0)	(14.0, 70.0)	(15.0, 172.0)	(16.0, 594.0)	(17.0, 1237.0)	(18.0, 2196.0)	(19.0, 2256.0)	(20.0, 3934.0)	(21.0, 5237.0)	(22.0, 6767.0)	(23.0, 8598.0)	(24.0, 16128.0)	(25.0, 31755.0)	(26.0, 61496.0)	(27.0, 87525.0)	(28.0, 130798.0)	(29.0, 290397.0)	(30.0, 775972.0)	(31.0, 754794.0)	(32.0, 280955.0)	(33.0, 243949.0)	(34.0, 547031.0)
LD1C9	(12.0, 4.0)	(13.0, 23.0)	(14.0, 98.0)	(15.0, 191.0)	(16.0, 669.0)	(17.0, 1442.0)	(18.0, 2569.0)	(19.0, 2774.0)	(20.0, 5051.0)	(21.0, 7063.0)	(22.0, 9221.0)	(23.0, 12282.0)	(24.0, 22895.0)	(25.0, 45133.0)	(26.0, 83092.0)	(27.0, 109676.0)	(28.0, 160224.0)	(29.0, 336596.0)	(30.0, 917783.0)	(31.0, 975969.0)	(32.0, 429330.0)	(33.0, 409975.0)	(34.0, 827283.0)
LD1D1	(12.0, 2.0)	(13.0, 37.0)	(14.0, 171.0)	(15.0, 256.0)	(16.0, 956.0)	(17.0, 2057.0)	(18.0, 3633.0)	(19.0, 3744.0)	(20.0, 6757.0)	(21.0, 9081.0)	(22.0, 11031.0)	(23.0, 13906.0)	(24.0, 25159.0)	(25.0, 46805.0)	(26.0, 84662.0)	(27.0, 108520.0)	(28.0, 145433.0)	(29.0, 287282.0)	(30.0, 752137.0)	(31.0, 772043.0)	(32.0, 428061.0)	(33.0, 506433.0)	(34.0, 1371656.0)
LD1D10	(12.0, 1.0)	(13.0, 6.0)	(14.0, 62.0)	(15.0, 88.0)	(16.0, 324.0)	(17.0, 725.0)	(18.0, 1376.0)	(19.0, 1584.0)	(20.0, 3026.0)	(21.0, 4682.0)	(22.0, 6945.0)	(23.0, 10379.0)	(24.0, 21516.0)	(25.0, 45353.0)	(26.0, 84990.0)	(27.0, 113240.0)	(28.0, 169607.0)	(29.0, 390061.0)	(30.0, 1054098.0)	(31.0, 1059129.0)	(32.0, 469160.0)	(33.0, 437505.0)	(34.0, 785595.0)
LD1D2	(12.0, 4.0)	(13.0, 29.0)	(14.0, 143.0)	(15.0, 285.0)	(16.0, 967.0)	(17.0, 2056.0)	(18.0, 3728.0)	(19.0, 3813.0)	(20.0, 6576.0)	(21.0, 8735.0)	(22.0, 10837.0)	(23.0, 13490.0)	(24.0, 23976.0)	(25.0, 44903.0)	(26.0, 79548.0)	(27.0, 103235.0)	(28.0, 137522.0)	(29.0, 262467.0)	(30.0, 717363.0)	(31.0, 835583.0)	(32.0, 436547.0)	(33.0, 473335.0)	(34.0, 1051628.0)
LD1D3	(12.0, 2.0)	(13.0, 21.0)	(14.0, 83.0)	(15.0, 186.0)	(16.0, 702.0)	(17.0, 1427.0)	(18.0, 2543.0)	(19.0, 2869.0)	(20.0, 5036.0)	(21.0, 6756.0)	(22.0, 8811.0)	(23.0, 11499.0)	(24.0, 21511.0)	(25.0, 41710.0)	(26.0, 75297.0)	(27.0, 98295.0)	(28.0, 136868.0)	(29.0, 274698.0)	(30.0, 758921.0)	(31.0, 858979.0)	(32.0, 406007.0)	(33.0, 406929.0)	(34.0, 843552.0)
LD1D4	(12.0, 4.0)	(13.0, 29.0)	(14.0, 167.0)	(15.0, 264.0)	(16.0, 1067.0)	(17.0, 2317.0)	(18.0, 3916.0)	(19.0, 3942.0)	(20.0, 6857.0)	(21.0, 8750.0)	(22.0, 10982.0)	(23.0, 13518.0)	(24.0, 24175.0)	(25.0, 45861.0)	(26.0, 83203.0)	(27.0, 111328.0)	(28.0, 155755.0)	(29.0, 308223.0)	(30.0, 823591.0)	(31.0, 913548.0)	(32.0, 429943.0)	(33.0, 412822.0)	(34.0, 821351.0)
LD1D5	(12.0, 5.0)	(13.0, 32.0)	(14.0, 132.0)	(15.0, 259.0)	(16.0, 871.0)	(17.0, 2031.0)	(18.0, 3441.0)	(19.0, 3704.0)	(20.0, 6210.0)	(21.0, 8306.0)	(22.0, 10510.0)	(23.0, 13727.0)	(24.0, 25337.0)	(25.0, 49035.0)	(26.0, 90245.0)	(27.0, 122602.0)	(28.0, 177695.0)	(29.0, 372774.0)	(30.0, 984417.0)	(31.0, 1006641.0)	(32.0, 464253.0)	(33.0, 444322.0)	(34.0, 846617.0)
LD1D6	(12.0, 3.0)	(13.0, 36.0)	(14.0, 146.0)	(15.0, 287.0)	(16.0, 1014.0)	(17.0, 2309.0)	(18.0, 3847.0)	(19.0, 3976.0)	(20.0, 6813.0)	(21.0, 9135.0)	(22.0, 11356.0)	(23.0, 14419.0)	(24.0, 25839.0)	(25.0, 48517.0)	(26.0, 84908.0)	(27.0, 110185.0)	(28.0, 150158.0)	(29.0, 297472.0)	(30.0, 784848.0)	(31.0, 791816.0)	(32.0, 437389.0)	(33.0, 508883.0)	(34.0, 1072342.0)
