Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
LD1D10	(1.0, 67.52699232198624)	(2.0, 1.0335918822910413)	(3.0, 0.5411005109456116)	(4.0, 0.4672306215230032)	(5.0, 0.4881819162075882)	(6.0, 0.3907761064150085)	(7.0, 0.382674986204352)	(8.0, 0.4086652762781578)	(9.0, 0.3976071928253014)	('>10', 11.68005396971392)	('>50', 6.8123676240054065)	('>100', 7.965298041733436)	('>500', 0.6326657473391897)	('>1k', 1.0037953718149326)	('>5k', 0.0)	('>10k+', 0.2689984307168874)
LD1D2	(1.0, 58.718166732769994)	(2.0, 1.1728697434701683)	(3.0, 0.6905807268234732)	(4.0, 0.553363632797071)	(5.0, 0.46312881660856026)	(6.0, 0.4179241993800412)	(7.0, 0.3796437618265345)	(8.0, 0.3596544097629442)	(9.0, 0.4060962065223296)	('>10', 11.728779539397962)	('>50', 7.758884464460181)	('>100', 10.911228938048133)	('>500', 1.2430313585419508)	('>1k', 2.4433925605861537)	('>5k', 1.0219569643051925)	('>10k+', 1.7312979446992873)
LD1D3	(1.0, 63.58007555102934)	(2.0, 0.95682549286744)	(3.0, 0.5489840230335812)	(4.0, 0.5047589480191254)	(5.0, 0.5226574987585137)	(6.0, 0.493204380641735)	(7.0, 0.46812042705381)	(8.0, 0.42760906328027026)	(9.0, 0.41809677011473145)	('>10', 13.250433687919235)	('>50', 7.843277740237857)	('>100', 9.206701065751275)	('>500', 0.6292940650337625)	('>1k', 0.7260936219659732)	('>5k', 0.14948915051524156)	('>10k+', 0.27437851377805605)
LD1D4	(1.0, 64.81472049927042)	(2.0, 1.0932196005426709)	(3.0, 0.5861527087911299)	(4.0, 0.5004649987573608)	(5.0, 0.4576525297452491)	(6.0, 0.41529389668089967)	(7.0, 0.43269213837171927)	(8.0, 0.4240707254841718)	(9.0, 0.4298628071962501)	('>10', 12.029094577338892)	('>50', 7.343896261774857)	('>100', 8.670042745389761)	('>500', 0.7107397286736774)	('>1k', 1.3338454974088687)	('>5k', 0.44450006997955405)	('>10k+', 0.31375121459457905)
LD1D5	(1.0, 66.91442709987079)	(2.0, 0.9582149597782437)	(3.0, 0.4889527719877883)	(4.0, 0.42829214816216277)	(5.0, 0.4157920336243791)	(6.0, 0.4172879627201468)	(7.0, 0.37777315308319476)	(8.0, 0.43579958701220906)	(9.0, 0.3702000146584806)	('>10', 11.523001820601193)	('>50', 6.996488265894417)	('>100', 8.898600380082271)	('>500', 0.6100272775890361)	('>1k', 0.769809212441061)	('>5k', 0.14339991521568518)	('>10k+', 0.251933397279059)
LD1D6	(1.0, 59.48918761332257)	(2.0, 0.8999745862973264)	(3.0, 0.4890302183251364)	(4.0, 0.41156615234817895)	(5.0, 0.3761877258666158)	(6.0, 0.37303700266923306)	(7.0, 0.3553549038893965)	(8.0, 0.35420807193702497)	(9.0, 0.3572768021350983)	('>10', 11.574342506921255)	('>50', 8.945933306105411)	('>100', 12.801053618774752)	('>500', 1.2724267862946517)	('>1k', 1.640000503806072)	('>5k', 0.15603287178020175)	('>10k+', 0.5043873295270176)
LD1D7	(1.0, 66.63762503242438)	(2.0, 1.2734996242131948)	(3.0, 0.6168877691485468)	(4.0, 0.5179949663628607)	(5.0, 0.46662192602260777)	(6.0, 0.48258983734224226)	(7.0, 0.4318687602802023)	(8.0, 0.42282183197494105)	(9.0, 0.4032211995871853)	('>10', 11.023290871694584)	('>50', 6.110054129796564)	('>100', 8.009575143860205)	('>500', 0.8755069939692859)	('>1k', 1.6381445189689319)	('>5k', 0.5949590134850775)	('>10k+', 0.49533838086911447)
LD1D8	(1.0, 69.83136155171135)	(2.0, 1.0384143719981473)	(3.0, 0.49282607855936694)	(4.0, 0.4472840039130636)	(5.0, 0.4306367833440847)	(6.0, 0.37115727648298524)	(7.0, 0.4173629095237648)	(8.0, 0.4155634004209194)	(9.0, 0.36599298340328695)	('>10', 11.104742810416198)	('>50', 6.330319944837473)	('>100', 6.8957802796555265)	('>500', 0.5498312973445662)	('>1k', 0.9618912860188172)	('>5k', 0.12763868599799738)	('>10k+', 0.2191963363724126)
LD1D9	(1.0, 59.71293876287472)	(2.0, 2.0563564522651716)	(3.0, 1.0341284596344251)	(4.0, 0.7360795961404135)	(5.0, 0.5834143628004987)	(6.0, 0.5728370151818162)	(7.0, 0.4879442318766627)	(8.0, 0.4598783796085565)	(9.0, 0.41081714329032915)	('>10', 8.89470459431255)	('>50', 4.314827799102465)	('>100', 7.4748243659415055)	('>500', 1.5549747658632587)	('>1k', 2.21269668975343)	('>5k', 1.6511690078163659)	('>10k+', 7.842408373537838)
O22A1	(1.0, 56.90519904898337)	(2.0, 0.8713170141003278)	(3.0, 0.5224345279471677)	(4.0, 0.46297549332054955)	(5.0, 0.4249549851009464)	(6.0, 0.4317043520881812)	(7.0, 0.42764305912797324)	(8.0, 0.39950819102288715)	(9.0, 0.4022934803655296)	('>10', 13.41997273968106)	('>50', 10.129166463467776)	('>100', 13.168002891357602)	('>500', 0.7768554067616781)	('>1k', 1.1087270639413382)	('>5k', 0.0)	('>10k+', 0.5492452827336322)
O22A2	(1.0, 58.882478406258606)	(2.0, 0.8767716689090691)	(3.0, 0.5355031113049685)	(4.0, 0.4799418713436072)	(5.0, 0.47008548273368606)	(6.0, 0.43811967772041593)	(7.0, 0.4261741901710829)	(8.0, 0.41716444582879186)	(9.0, 0.3737726870007781)	('>10', 12.359798249415329)	('>50', 8.940906130517796)	('>100', 12.244728400453624)	('>500', 1.176600207562124)	('>1k', 1.353964016283526)	('>5k', 1.0239914544964899)	('>10k+', 0.0)
O22A3	(1.0, 52.53154574675549)	(2.0, 2.8314961531950216)	(3.0, 1.5195908607739708)	(4.0, 1.0991729370162815)	(5.0, 0.9115358042680589)	(6.0, 0.75153756072832)	(7.0, 0.7281369182523629)	(8.0, 0.6218403244967252)	(9.0, 0.5886579737127248)	('>10', 10.119318109724407)	('>50', 4.566820237952351)	('>100', 7.76584730878263)	('>500', 2.3145121535893933)	('>1k', 3.622514938275285)	('>5k', 1.1852077725541985)	('>10k+', 8.842265199922787)
O22A4	(1.0, 39.752856899292645)	(2.0, 4.247338862897809)	(3.0, 2.377125935279647)	(4.0, 1.6844748748305858)	(5.0, 1.3026716549428106)	(6.0, 1.123372172621532)	(7.0, 0.9468841655404514)	(8.0, 0.7735014243958999)	(9.0, 0.7578816145407257)	('>10', 9.343693856331466)	('>50', 3.264016442396071)	('>100', 4.819259201366236)	('>500', 1.119522451512212)	('>1k', 2.9917177797062307)	('>5k', 1.360448878178423)	('>10k+', 24.135233786167255)
O22A5	(1.0, 64.33426620111622)	(2.0, 1.2698183316054645)	(3.0, 0.7601179782689839)	(4.0, 0.6625856240488568)	(5.0, 0.6218765748892551)	(6.0, 0.6230143723520396)	(7.0, 0.598042598724236)	(8.0, 0.5352360995411514)	(9.0, 0.5408020397261076)	('>10', 14.601760115463902)	('>50', 7.2032634218343174)	('>100', 6.701206324961878)	('>500', 0.6430146069174739)	('>1k', 0.4755214344488117)	('>5k', 0.4294742761013178)	('>10k+', 0.0)
O22A6	(1.0, 55.27962125704499)	(2.0, 0.9732013557496765)	(3.0, 0.6390604151675697)	(4.0, 0.6008649508082422)	(5.0, 0.5778984653756755)	(6.0, 0.507131356157144)	(7.0, 0.5171837747504144)	(8.0, 0.49623860555737187)	(9.0, 0.5138662050618482)	('>10', 16.90843027071714)	('>50', 9.981896862037837)	('>100', 10.19059324645515)	('>500', 0.8054178649837703)	('>1k', 1.326803865152164)	('>5k', 0.6817915049809996)	('>10k+', 0.0)
