task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
168	a0/19ab1b	1399768	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22A5)	COMPLETED	0	2024-11-10 12:01:52.681	22.1s	21s	505.2%	200.3 MB	2.7 GB	1.5 GB	1.5 GB
169	a0/fe1824	1402230	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22A8)	COMPLETED	0	2024-11-10 12:02:14.817	18.7s	18s	505.3%	201.2 MB	2.7 GB	1.3 GB	1.3 GB
170	d8/ad833b	1404696	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22B3)	COMPLETED	0	2024-11-10 12:02:33.502	23.7s	24s	509.5%	201.6 MB	2.7 GB	1.5 GB	1.5 GB
171	13/80fa55	1407356	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22A7)	COMPLETED	0	2024-11-10 12:02:57.173	32.7s	32s	386.8%	198.9 MB	2.8 GB	1.7 GB	1.7 GB
172	05/bd39e0	1410256	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22B8)	COMPLETED	0	2024-11-10 12:03:29.922	23.2s	23s	436.6%	203.3 MB	2.7 GB	1.4 GB	1.4 GB
173	dd/0e9c1f	1412925	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22B2)	COMPLETED	0	2024-11-10 12:03:53.170	1m 1s	1m 1s	211.9%	201.4 MB	2.7 GB	1.7 GB	1.6 GB
174	2b/63a06e	1417070	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22B4)	COMPLETED	0	2024-11-10 12:04:54.194	23.9s	23s	496.0%	202.5 MB	2.8 GB	1.5 GB	1.5 GB
175	cc/594d09	1419749	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22B6)	COMPLETED	0	2024-11-10 12:05:18.062	24.8s	24s	508.7%	208.6 MB	2.7 GB	1.5 GB	1.5 GB
176	40/294c23	1422419	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22C1)	COMPLETED	0	2024-11-10 12:05:42.900	21.1s	20s	504.7%	197.8 MB	2.7 GB	1.3 GB	1.2 GB
177	36/7d1fb4	1424878	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22B7)	COMPLETED	0	2024-11-10 12:06:03.974	23.2s	23s	509.3%	202.6 MB	2.7 GB	1.6 GB	1.6 GB
178	69/311d63	1427546	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22C7)	COMPLETED	0	2024-11-10 12:06:27.153	20.8s	20s	506.8%	202.1 MB	2.7 GB	1.4 GB	1.4 GB
179	32/f352d6	1430012	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22C3)	COMPLETED	0	2024-11-10 12:06:47.959	21.3s	21s	505.4%	202.8 MB	2.8 GB	1.4 GB	1.4 GB
180	de/54fe72	1432472	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22B1)	COMPLETED	0	2024-11-10 12:07:09.238	24.8s	24s	506.2%	199.6 MB	2.7 GB	1.5 GB	1.5 GB
181	55/6d0010	1435151	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22B5)	COMPLETED	0	2024-11-10 12:07:34.096	21.4s	21s	504.2%	198.4 MB	2.7 GB	1.4 GB	1.4 GB
182	ed/56623d	1437614	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22C8)	COMPLETED	0	2024-11-10 12:07:55.531	20.4s	20s	504.3%	202.4 MB	2.7 GB	1.4 GB	1.4 GB
183	11/dc37f0	1440078	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22C2)	COMPLETED	0	2024-11-10 12:08:15.890	23.6s	23s	504.6%	201.1 MB	2.8 GB	1.4 GB	1.4 GB
184	91/9f1805	1442755	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22C4)	COMPLETED	0	2024-11-10 12:08:39.527	22.6s	23s	507.4%	202.2 MB	2.7 GB	1.5 GB	1.4 GB
185	9e/af1d25	1445289	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22C5)	COMPLETED	0	2024-11-10 12:09:02.180	22.7s	22s	508.7%	198.6 MB	2.7 GB	1.5 GB	1.5 GB
186	5d/732354	1447840	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22C6)	COMPLETED	0	2024-11-10 12:09:24.931	20.7s	20s	496.4%	198.2 MB	2.8 GB	1.2 GB	1.2 GB
187	66/2e57a0	1450302	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22D6)	COMPLETED	0	2024-11-10 12:09:45.606	42.6s	41s	287.8%	195.9 MB	2.7 GB	1.5 GB	1.5 GB
188	ce/d7a543	1453617	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22D2)	COMPLETED	0	2024-11-10 12:10:28.172	23.5s	23s	509.0%	200.3 MB	2.7 GB	1.5 GB	1.4 GB
189	72/bfbbb2	1456284	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22D8)	COMPLETED	0	2024-11-10 12:10:51.693	37.2s	36s	299.6%	204.2 MB	2.7 GB	1.5 GB	1.5 GB
190	79/635087	1459388	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22D1)	COMPLETED	0	2024-11-10 12:11:28.924	23.1s	22s	508.7%	201.3 MB	2.7 GB	1.4 GB	1.4 GB
191	18/a0cda0	1462048	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22D3)	COMPLETED	0	2024-11-10 12:11:52.060	23.3s	23s	507.3%	202.6 MB	2.7 GB	1.5 GB	1.5 GB
192	15/aa7938	1464723	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (O22D4)	COMPLETED	0	2024-11-10 12:12:15.408	21.7s	22s	506.6%	199.9 MB	2.7 GB	1.4 GB	1.4 GB
